NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,1,2
3,2,5
4,3,8
5,5,11
6,6,14
7,8,18
8,10,22
9,12,25
10,14,29
11,16,33
12,17,36
13,20,40
14,22,44
15,24,48
16,26,52
17,29,56
18,30,59
19,33,61
20,35,66
21,37,68
22,40,71
23,42,74
24,44,78
25,46,80
26,49,83
27,51,87
28,54,89
29,57,92
30,59,95
31,61,97
32,64,102
33,67,106
34,69,108
35,71,111
36,73,114
37,76,118
38,79,122
39,82,125
40,83,128
41,86,131
42,89,135
43,92,137
44,96,141
45,98,146
46,100,149
47,104,151
48,106,156
49,108,158
50,111,162
51,114,166
52,118,168
53,119,171
54,122,174
55,125,178
56,129,182
57,129,183
58,132,189
59,138,190
60,139,194
61,142,197
62,144,202
63,146,203
64,151,206
65,152,211
66,155,211
67,159,217
68,163,221
69,165,222
70,168,228
71,169,230
72,174,235
73,178,237
74,178,238
75,181,244
76,186,245
77,188,249
78,189,254
79,193,257
80,199,257
81,200,262
82,205,263
83,207,267
84,205,271
85,213,275
86,215,278
87,217,281
88,223,286
89,225,288
90,228,289
91,231,295
92,232,298
93,234,302
94,239,302
95,241,307
96,247,310
97,251,315
98,250,317
99,254,322
100,261,324
101,259,328
102,265,330
103,269,334
104,268,339
105,275,343
106,275,345
107,280,348
108,284,351
109,287,352
110,291,356
111,294,360
112,295,364
113,300,365
114,298,370
115,302,373
116,309,377
117,306,380
118,313,380
119,316,386
120,317,389
121,323,392
122,325,398
123,333,401
124,336,403
125,336,405
126,339,409
127,346,413
128,343,414
129,346,419
130,353,425
131,359,427
132,360,429
133,356,431
134,367,434
135,373,437
136,371,441
137,378,445
138,377,448
139,384,451
140,386,455
141,393,458
142,390,460
143,393,463
144,391,468
145,405,472
146,400,475
147,404,479
148,412,480
149,416,484
150,414,487
151,421,491
152,427,493
153,425,496
154,431,501
155,433,503
156,441,507
157,441,509
158,449,516
159,444,517
160,450,520
161,452,523
